[17:03:32.583] INFO: ShaderBench version 18.12.1720923 Release starts on Mon Dec 17 17:03:32 2018.
[17:03:32.583] INFO: ReadJsonConfigFile: config file "ShaderBench.json" loaded, total 290 lines.
[17:03:32.599] INFO: ReadJsonConfigFile: config file "GpuInfo.json" loaded, total 92 lines.
[17:03:32.599] INFO: Command line: "D:\Rocky\shaderbench\18.12\Windows\shaderbench.exe".
[17:03:32.599] INFO: Working directory: "D:\Rocky\shaderbench\18.12\Windows".
[17:03:32.615] INFO: Environment variables:
                        EnvVariableName             CurrentSetting    UsageDescription
                        DisableOpenCLCapsQuery      1                 Don't initialize OpenCL when set (OpenCL is used to get some caps such as wave front size). Valid value: 0 or 1.
                        DisableSystemInfoLogging    1                 Don't query and output system information into log file when set (Save 3s launch time). Valid value: 0 or 1.
                        PrintGpuTimestamp           Not Set           Print GPU timestamp for individual cases when set. Valid value: 0 or 1.
[17:03:32.615] INFO: Parent Proccess: C:\Windows\System32\cmd.exe
[17:03:32.615] [COMMON] WARNING: System information will not be output, because environment variable DisableSystemInfoLogging is set to 1.
[17:03:32.646] INFO: Add test ShaderTest.
[17:03:32.662] INFO: There are 1 tests to run: ShaderTest.
[17:03:32.662] INFO: Starting 'ShaderTest' test (Start time: Mon Dec 17 17:03:32 2018, Description: Test shader compile and execution time).
[17:03:32.677] INFO: Parent Proccess: C:\Windows\System32\cmd.exe
[17:03:32.693] INFO: Parent Proccess: C:\Windows\System32\cmd.exe
[17:03:32.709] INFO: Parent Proccess: C:\Windows\System32\cmd.exe
[17:03:39.037] [GAL] INFO: A Vulkan device will be created on the adapter "13E9:00"(0x13E9).
[17:03:39.037] [COMMON] WARNING: OpenCL initialization is skipped, because environment variable DisableOpenCLCapsQuery is set to 1. Thus pre-defined default values will be used for some caps.
[17:03:39.053] INFO: GpuInfo: vendor='AMD', deviceID=0x13E9, architecture='gfx10', initialized.
[17:03:39.373] [GAL] INFO: GPU timestamp frequency on Vulkan API: 100MHz.
[17:03:39.404] [TEST] INFO: To defeat shader cache, SPIRV's 3rd DWORD, which is the SPIRV generator's magic number and doesn't impact the shader contents, will be modified to a unique value each time vkCreateShaderModule is called. This message is printed only once.
[17:03:46.700] [GAL] WARNING: Present fails.
[17:03:46.755] [GAL] WARNING: Present fails.
[17:03:46.801] [GAL] WARNING: Present fails.
[17:03:46.848] [GAL] WARNING: Present fails.
[17:03:46.895] [GAL] WARNING: Present fails.
[17:03:54.073] [GAL] WARNING: Present fails.
[17:03:54.120] [GAL] WARNING: Present fails.
[17:03:54.167] [GAL] WARNING: Present fails.
[17:03:54.214] [GAL] WARNING: Present fails.
[17:03:54.261] [GAL] WARNING: Present fails.
[17:03:54.308] [GAL] WARNING: Present fails.
[17:03:54.355] [GAL] WARNING: Present fails.
[17:03:54.402] [GAL] WARNING: Present fails.
[17:03:54.449] [GAL] WARNING: Present fails.
[17:03:54.495] [GAL] WARNING: Present fails.
[17:03:54.542] [GAL] WARNING: Present fails.
[17:03:54.636] [GAL] WARNING: Present fails.
[17:03:54.683] [GAL] WARNING: Present fails.
[17:03:54.720] [GAL] WARNING: Present fails.
[17:03:54.767] [GAL] WARNING: Present fails.
[17:03:54.814] [GAL] WARNING: Present fails.
[17:03:54.861] [GAL] WARNING: Present fails.
[17:03:54.908] [GAL] WARNING: Present fails.
[17:03:54.955] [GAL] WARNING: Present fails.
[17:03:55.002] [GAL] WARNING: Present fails.
[17:03:58.815] [GAL] WARNING: Present fails.
[17:03:58.815] [GAL] WARNING: Present fails.
[17:03:58.831] [GAL] WARNING: Present fails.
[17:03:58.831] [GAL] WARNING: Present fails.
[17:03:58.847] [GAL] WARNING: Present fails.
[17:04:02.565] [GAL] WARNING: Present fails.
[17:04:02.581] [GAL] WARNING: Present fails.
[17:04:02.581] [GAL] WARNING: Present fails.
[17:04:02.597] [GAL] WARNING: Present fails.
[17:04:02.597] [GAL] WARNING: Present fails.
[17:04:02.612] [GAL] WARNING: Present fails.
[17:04:02.612] [GAL] WARNING: Present fails.
[17:04:02.628] [GAL] WARNING: Present fails.
[17:04:02.628] [GAL] WARNING: Present fails.
[17:04:02.644] [GAL] WARNING: Present fails.
[17:04:02.644] [GAL] WARNING: Present fails.
[17:04:02.659] [GAL] WARNING: Present fails.
[17:04:02.659] [GAL] WARNING: Present fails.
[17:04:02.659] [GAL] WARNING: Present fails.
[17:04:02.675] [GAL] WARNING: Present fails.
[17:04:02.675] [GAL] WARNING: Present fails.
[17:04:02.675] [GAL] WARNING: Present fails.
[17:04:02.691] [GAL] WARNING: Present fails.
[17:04:02.691] [GAL] WARNING: Present fails.
[17:04:02.706] [GAL] WARNING: Present fails.
[17:04:05.097] [GAL] WARNING: Present fails.
[17:04:05.113] [GAL] WARNING: Present fails.
[17:04:05.128] [GAL] WARNING: Present fails.
[17:04:05.144] [GAL] WARNING: Present fails.
[17:04:05.159] [GAL] WARNING: Present fails.
[17:04:07.472] [GAL] WARNING: Present fails.
[17:04:07.488] [GAL] WARNING: Present fails.
[17:04:07.503] [GAL] WARNING: Present fails.
[17:04:07.503] [GAL] WARNING: Present fails.
[17:04:07.519] [GAL] WARNING: Present fails.
[17:04:07.535] [GAL] WARNING: Present fails.
[17:04:07.550] [GAL] WARNING: Present fails.
[17:04:07.566] [GAL] WARNING: Present fails.
[17:04:07.581] [GAL] WARNING: Present fails.
[17:04:07.597] [GAL] WARNING: Present fails.
[17:04:07.597] [GAL] WARNING: Present fails.
[17:04:07.613] [GAL] WARNING: Present fails.
[17:04:07.628] [GAL] WARNING: Present fails.
[17:04:07.644] [GAL] WARNING: Present fails.
[17:04:07.660] [GAL] WARNING: Present fails.
[17:04:07.675] [GAL] WARNING: Present fails.
[17:04:07.675] [GAL] WARNING: Present fails.
[17:04:07.691] [GAL] WARNING: Present fails.
[17:04:07.706] [GAL] WARNING: Present fails.
[17:04:07.722] [GAL] WARNING: Present fails.
[17:04:13.476] [GAL] WARNING: Present fails.
[17:04:13.523] [GAL] WARNING: Present fails.
[17:04:13.570] [GAL] WARNING: Present fails.
[17:04:13.617] [GAL] WARNING: Present fails.
[17:04:13.664] [GAL] WARNING: Present fails.
[17:04:19.211] [GAL] WARNING: Present fails.
[17:04:19.258] [GAL] WARNING: Present fails.
[17:04:19.305] [GAL] WARNING: Present fails.
[17:04:19.351] [GAL] WARNING: Present fails.
[17:04:19.398] [GAL] WARNING: Present fails.
