[16:17:57.612] INFO: ShaderBench version 18.12.1720923 Release starts on Mon Dec 17 16:17:57 2018.
[16:17:57.612] INFO: ReadJsonConfigFile: config file "ShaderBench.json" loaded, total 290 lines.
[16:17:57.627] INFO: ReadJsonConfigFile: config file "GpuInfo.json" loaded, total 92 lines.
[16:17:57.627] INFO: Command line: "D:\Rocky\shaderbench\18.12\Windows\shaderbench.exe".
[16:17:57.643] INFO: Working directory: "D:\Rocky\shaderbench\18.12\Windows".
[16:17:57.643] INFO: Environment variables:
                        EnvVariableName             CurrentSetting    UsageDescription
                        DisableOpenCLCapsQuery      1                 Don't initialize OpenCL when set (OpenCL is used to get some caps such as wave front size). Valid value: 0 or 1.
                        DisableSystemInfoLogging    1                 Don't query and output system information into log file when set (Save 3s launch time). Valid value: 0 or 1.
                        PrintGpuTimestamp           Not Set           Print GPU timestamp for individual cases when set. Valid value: 0 or 1.
[16:17:57.643] INFO: Parent Proccess: C:\Windows\System32\cmd.exe
[16:17:57.659] [COMMON] WARNING: System information will not be output, because environment variable DisableSystemInfoLogging is set to 1.
[16:17:57.690] INFO: Add test ShaderTest.
[16:17:57.690] INFO: There are 1 tests to run: ShaderTest.
[16:17:57.690] INFO: Starting 'ShaderTest' test (Start time: Mon Dec 17 16:17:57 2018, Description: Test shader compile and execution time).
[16:17:57.721] INFO: Parent Proccess: C:\Windows\System32\cmd.exe
[16:17:57.737] INFO: Parent Proccess: C:\Windows\System32\cmd.exe
[16:17:57.752] INFO: Parent Proccess: C:\Windows\System32\cmd.exe
[16:17:59.909] [GAL] INFO: A Vulkan device will be created on the adapter "13E9:00"(0x13E9).
[16:17:59.909] [COMMON] WARNING: OpenCL initialization is skipped, because environment variable DisableOpenCLCapsQuery is set to 1. Thus pre-defined default values will be used for some caps.
[16:17:59.909] INFO: GpuInfo: vendor='AMD', deviceID=0x13E9, architecture='gfx10', initialized.
[16:18:00.253] [GAL] INFO: GPU timestamp frequency on Vulkan API: 100MHz.
[16:18:00.284] [TEST] INFO: To defeat shader cache, SPIRV's 3rd DWORD, which is the SPIRV generator's magic number and doesn't impact the shader contents, will be modified to a unique value each time vkCreateShaderModule is called. This message is printed only once.
[16:18:07.597] [GAL] WARNING: Present fails.
[16:18:07.644] [GAL] WARNING: Present fails.
[16:18:07.691] [GAL] WARNING: Present fails.
[16:18:07.753] [GAL] WARNING: Present fails.
[16:18:07.800] [GAL] WARNING: Present fails.
[16:18:15.018] [GAL] WARNING: Present fails.
[16:18:15.073] [GAL] WARNING: Present fails.
[16:18:15.120] [GAL] WARNING: Present fails.
[16:18:15.167] [GAL] WARNING: Present fails.
[16:18:15.214] [GAL] WARNING: Present fails.
[16:18:15.261] [GAL] WARNING: Present fails.
[16:18:15.308] [GAL] WARNING: Present fails.
[16:18:15.368] [GAL] WARNING: Present fails.
[16:18:15.408] [GAL] WARNING: Present fails.
[16:18:15.455] [GAL] WARNING: Present fails.
[16:18:15.501] [GAL] WARNING: Present fails.
[16:18:15.564] [GAL] WARNING: Present fails.
[16:18:15.611] [GAL] WARNING: Present fails.
[16:18:15.658] [GAL] WARNING: Present fails.
[16:18:15.705] [GAL] WARNING: Present fails.
[16:18:15.751] [GAL] WARNING: Present fails.
[16:18:15.798] [GAL] WARNING: Present fails.
[16:18:15.845] [GAL] WARNING: Present fails.
[16:18:15.892] [GAL] WARNING: Present fails.
[16:18:15.955] [GAL] WARNING: Present fails.
[16:18:19.783] [GAL] WARNING: Present fails.
[16:18:19.783] [GAL] WARNING: Present fails.
[16:18:19.799] [GAL] WARNING: Present fails.
[16:18:19.799] [GAL] WARNING: Present fails.
[16:18:19.814] [GAL] WARNING: Present fails.
[16:18:23.533] [GAL] WARNING: Present fails.
[16:18:23.549] [GAL] WARNING: Present fails.
[16:18:23.549] [GAL] WARNING: Present fails.
[16:18:23.564] [GAL] WARNING: Present fails.
[16:18:23.564] [GAL] WARNING: Present fails.
[16:18:23.588] [GAL] WARNING: Present fails.
[16:18:23.588] [GAL] WARNING: Present fails.
[16:18:23.603] [GAL] WARNING: Present fails.
[16:18:23.603] [GAL] WARNING: Present fails.
[16:18:23.619] [GAL] WARNING: Present fails.
[16:18:23.619] [GAL] WARNING: Present fails.
[16:18:23.635] [GAL] WARNING: Present fails.
[16:18:23.635] [GAL] WARNING: Present fails.
[16:18:23.650] [GAL] WARNING: Present fails.
[16:18:23.650] [GAL] WARNING: Present fails.
[16:18:23.666] [GAL] WARNING: Present fails.
[16:18:23.666] [GAL] WARNING: Present fails.
[16:18:23.681] [GAL] WARNING: Present fails.
[16:18:23.681] [GAL] WARNING: Present fails.
[16:18:23.697] [GAL] WARNING: Present fails.
[16:18:26.041] [GAL] WARNING: Present fails.
[16:18:26.057] [GAL] WARNING: Present fails.
[16:18:26.072] [GAL] WARNING: Present fails.
[16:18:26.088] [GAL] WARNING: Present fails.
[16:18:26.104] [GAL] WARNING: Present fails.
[16:18:28.416] [GAL] WARNING: Present fails.
[16:18:28.432] [GAL] WARNING: Present fails.
[16:18:28.447] [GAL] WARNING: Present fails.
[16:18:28.463] [GAL] WARNING: Present fails.
[16:18:28.479] [GAL] WARNING: Present fails.
[16:18:28.494] [GAL] WARNING: Present fails.
[16:18:28.510] [GAL] WARNING: Present fails.
[16:18:28.526] [GAL] WARNING: Present fails.
[16:18:28.541] [GAL] WARNING: Present fails.
[16:18:28.557] [GAL] WARNING: Present fails.
[16:18:28.572] [GAL] WARNING: Present fails.
[16:18:28.588] [GAL] WARNING: Present fails.
[16:18:28.588] [GAL] WARNING: Present fails.
[16:18:28.604] [GAL] WARNING: Present fails.
[16:18:28.619] [GAL] WARNING: Present fails.
[16:18:28.635] [GAL] WARNING: Present fails.
[16:18:28.651] [GAL] WARNING: Present fails.
[16:18:28.666] [GAL] WARNING: Present fails.
[16:18:28.682] [GAL] WARNING: Present fails.
[16:18:28.697] [GAL] WARNING: Present fails.
[16:18:34.441] [GAL] WARNING: Present fails.
[16:18:34.488] [GAL] WARNING: Present fails.
[16:18:34.535] [GAL] WARNING: Present fails.
[16:18:34.582] [GAL] WARNING: Present fails.
[16:18:34.629] [GAL] WARNING: Present fails.
[16:18:40.197] [GAL] WARNING: Present fails.
[16:18:40.244] [GAL] WARNING: Present fails.
[16:18:40.291] [GAL] WARNING: Present fails.
[16:18:40.338] [GAL] WARNING: Present fails.
[16:18:40.384] [GAL] WARNING: Present fails.
[16:18:40.431] [GAL] WARNING: Present fails.
[16:18:40.478] [GAL] WARNING: Present fails.
[16:18:40.525] [GAL] WARNING: Present fails.
[16:18:40.574] [GAL] WARNING: Present fails.
[16:18:40.612] [GAL] WARNING: Present fails.
[16:18:40.659] [GAL] WARNING: Present fails.
[16:18:40.706] [GAL] WARNING: Present fails.
[16:18:40.753] [GAL] WARNING: Present fails.
[16:18:40.800] [GAL] WARNING: Present fails.
[16:18:40.847] [GAL] WARNING: Present fails.
[16:18:40.893] [GAL] WARNING: Present fails.
[16:18:40.940] [GAL] WARNING: Present fails.
[16:18:40.987] [GAL] WARNING: Present fails.
[16:18:41.034] [GAL] WARNING: Present fails.
[16:18:41.082] [GAL] WARNING: Present fails.
[16:18:42.675] [GAL] WARNING: Present fails.
[16:18:42.691] [GAL] WARNING: Present fails.
[16:18:42.691] [GAL] WARNING: Present fails.
[16:18:42.707] [GAL] WARNING: Present fails.
[16:18:42.722] [GAL] WARNING: Present fails.
[16:18:44.285] [GAL] WARNING: Present fails.
[16:18:44.301] [GAL] WARNING: Present fails.
[16:18:44.316] [GAL] WARNING: Present fails.
[16:18:44.316] [GAL] WARNING: Present fails.
[16:18:44.332] [GAL] WARNING: Present fails.
[16:18:44.347] [GAL] WARNING: Present fails.
[16:18:44.347] [GAL] WARNING: Present fails.
[16:18:44.363] [GAL] WARNING: Present fails.
[16:18:44.379] [GAL] WARNING: Present fails.
[16:18:44.394] [GAL] WARNING: Present fails.
[16:18:44.394] [GAL] WARNING: Present fails.
[16:18:44.410] [GAL] WARNING: Present fails.
[16:18:44.426] [GAL] WARNING: Present fails.
[16:18:44.426] [GAL] WARNING: Present fails.
[16:18:44.441] [GAL] WARNING: Present fails.
[16:18:44.441] [GAL] WARNING: Present fails.
[16:18:44.457] [GAL] WARNING: Present fails.
[16:18:44.472] [GAL] WARNING: Present fails.
[16:18:44.472] [GAL] WARNING: Present fails.
[16:18:44.488] [GAL] WARNING: Present fails.
[16:18:45.845] [GAL] WARNING: Present fails.
[16:18:45.861] [GAL] WARNING: Present fails.
[16:18:45.861] [GAL] WARNING: Present fails.
[16:18:45.876] [GAL] WARNING: Present fails.
[16:18:45.876] [GAL] WARNING: Present fails.
[16:18:47.111] [GAL] WARNING: Present fails.
[16:18:47.126] [GAL] WARNING: Present fails.
[16:18:47.142] [GAL] WARNING: Present fails.
[16:18:47.142] [GAL] WARNING: Present fails.
[16:18:47.158] [GAL] WARNING: Present fails.
[16:18:47.158] [GAL] WARNING: Present fails.
[16:18:47.173] [GAL] WARNING: Present fails.
[16:18:47.189] [GAL] WARNING: Present fails.
[16:18:47.189] [GAL] WARNING: Present fails.
[16:18:47.205] [GAL] WARNING: Present fails.
[16:18:47.205] [GAL] WARNING: Present fails.
[16:18:47.220] [GAL] WARNING: Present fails.
[16:18:47.220] [GAL] WARNING: Present fails.
[16:18:47.236] [GAL] WARNING: Present fails.
[16:18:47.251] [GAL] WARNING: Present fails.
[16:18:47.251] [GAL] WARNING: Present fails.
[16:18:47.267] [GAL] WARNING: Present fails.
[16:18:47.267] [GAL] WARNING: Present fails.
[16:18:47.283] [GAL] WARNING: Present fails.
[16:18:47.283] [GAL] WARNING: Present fails.
[16:18:55.705] [GAL] WARNING: Present fails.
[16:18:55.752] [GAL] WARNING: Present fails.
[16:18:55.799] [GAL] WARNING: Present fails.
[16:18:55.846] [GAL] WARNING: Present fails.
[16:18:55.893] [GAL] WARNING: Present fails.
[16:19:04.159] [GAL] WARNING: Present fails.
[16:19:04.206] [GAL] WARNING: Present fails.
[16:19:04.253] [GAL] WARNING: Present fails.
[16:19:04.284] [GAL] WARNING: Present fails.
[16:19:04.331] [GAL] WARNING: Present fails.
[16:19:04.378] [GAL] WARNING: Present fails.
[16:19:04.424] [GAL] WARNING: Present fails.
[16:19:04.471] [GAL] WARNING: Present fails.
[16:19:04.518] [GAL] WARNING: Present fails.
[16:19:04.565] [GAL] WARNING: Present fails.
[16:19:04.612] [GAL] WARNING: Present fails.
[16:19:04.643] [GAL] WARNING: Present fails.
[16:19:04.690] [GAL] WARNING: Present fails.
[16:19:04.737] [GAL] WARNING: Present fails.
[16:19:04.790] [GAL] WARNING: Present fails.
[16:19:04.828] [GAL] WARNING: Present fails.
[16:19:04.875] [GAL] WARNING: Present fails.
[16:19:04.922] [GAL] WARNING: Present fails.
[16:19:04.953] [GAL] WARNING: Present fails.
[16:19:05.000] [GAL] WARNING: Present fails.
[16:19:07.918] [GAL] WARNING: Present fails.
[16:19:07.933] [GAL] WARNING: Present fails.
[16:19:07.949] [GAL] WARNING: Present fails.
[16:19:07.949] [GAL] WARNING: Present fails.
[16:19:07.964] [GAL] WARNING: Present fails.
[16:19:10.824] [GAL] WARNING: Present fails.
[16:19:10.840] [GAL] WARNING: Present fails.
[16:19:10.855] [GAL] WARNING: Present fails.
[16:19:10.871] [GAL] WARNING: Present fails.
[16:19:10.886] [GAL] WARNING: Present fails.
[16:19:10.902] [GAL] WARNING: Present fails.
[16:19:10.902] [GAL] WARNING: Present fails.
[16:19:10.918] [GAL] WARNING: Present fails.
[16:19:10.933] [GAL] WARNING: Present fails.
[16:19:10.949] [GAL] WARNING: Present fails.
[16:19:10.965] [GAL] WARNING: Present fails.
[16:19:10.980] [GAL] WARNING: Present fails.
[16:19:10.996] [GAL] WARNING: Present fails.
[16:19:11.011] [GAL] WARNING: Present fails.
[16:19:11.027] [GAL] WARNING: Present fails.
[16:19:11.043] [GAL] WARNING: Present fails.
[16:19:11.058] [GAL] WARNING: Present fails.
[16:19:11.074] [GAL] WARNING: Present fails.
[16:19:11.090] [GAL] WARNING: Present fails.
[16:19:11.105] [GAL] WARNING: Present fails.
[16:19:23.032] [GAL] WARNING: Present fails.
[16:19:23.110] [GAL] WARNING: Present fails.
[16:19:23.204] [GAL] WARNING: Present fails.
[16:19:23.283] [GAL] WARNING: Present fails.
