[16:40:49.610] INFO: ShaderBench version 18.12.1720923 Release starts on Mon Dec 17 16:40:49 2018.
[16:40:49.610] INFO: ReadJsonConfigFile: config file "ShaderBench.json" loaded, total 290 lines.
[16:40:49.626] INFO: ReadJsonConfigFile: config file "GpuInfo.json" loaded, total 92 lines.
[16:40:49.626] INFO: Command line: "D:\Rocky\shaderbench\18.12\Windows\shaderbench.exe".
[16:40:49.641] INFO: Working directory: "D:\Rocky\shaderbench\18.12\Windows".
[16:40:49.641] INFO: Environment variables:
                        EnvVariableName             CurrentSetting    UsageDescription
                        DisableOpenCLCapsQuery      1                 Don't initialize OpenCL when set (OpenCL is used to get some caps such as wave front size). Valid value: 0 or 1.
                        DisableSystemInfoLogging    1                 Don't query and output system information into log file when set (Save 3s launch time). Valid value: 0 or 1.
                        PrintGpuTimestamp           Not Set           Print GPU timestamp for individual cases when set. Valid value: 0 or 1.
[16:40:49.641] INFO: Parent Proccess: C:\Windows\System32\cmd.exe
[16:40:49.657] [COMMON] WARNING: System information will not be output, because environment variable DisableSystemInfoLogging is set to 1.
[16:40:49.688] INFO: Add test ShaderTest.
[16:40:49.688] INFO: There are 1 tests to run: ShaderTest.
[16:40:49.735] INFO: Starting 'ShaderTest' test (Start time: Mon Dec 17 16:40:49 2018, Description: Test shader compile and execution time).
[16:40:49.751] INFO: Parent Proccess: C:\Windows\System32\cmd.exe
[16:40:49.766] INFO: Parent Proccess: C:\Windows\System32\cmd.exe
[16:40:49.782] INFO: Parent Proccess: C:\Windows\System32\cmd.exe
[16:40:54.017] [GAL] INFO: A Vulkan device will be created on the adapter "13E9:00"(0x13E9).
[16:40:54.032] [COMMON] WARNING: OpenCL initialization is skipped, because environment variable DisableOpenCLCapsQuery is set to 1. Thus pre-defined default values will be used for some caps.
[16:40:54.032] INFO: GpuInfo: vendor='AMD', deviceID=0x13E9, architecture='gfx10', initialized.
[16:40:54.348] [GAL] INFO: GPU timestamp frequency on Vulkan API: 100MHz.
[16:40:54.380] [TEST] INFO: To defeat shader cache, SPIRV's 3rd DWORD, which is the SPIRV generator's magic number and doesn't impact the shader contents, will be modified to a unique value each time vkCreateShaderModule is called. This message is printed only once.
[16:41:01.615] [GAL] WARNING: Present fails.
[16:41:01.671] [GAL] WARNING: Present fails.
[16:41:01.708] [GAL] WARNING: Present fails.
[16:41:01.755] [GAL] WARNING: Present fails.
[16:41:01.802] [GAL] WARNING: Present fails.
[16:41:08.990] [GAL] WARNING: Present fails.
[16:41:09.037] [GAL] WARNING: Present fails.
[16:41:09.099] [GAL] WARNING: Present fails.
[16:41:09.146] [GAL] WARNING: Present fails.
[16:41:09.193] [GAL] WARNING: Present fails.
[16:41:09.240] [GAL] WARNING: Present fails.
[16:41:09.287] [GAL] WARNING: Present fails.
[16:41:09.334] [GAL] WARNING: Present fails.
[16:41:09.381] [GAL] WARNING: Present fails.
[16:41:09.428] [GAL] WARNING: Present fails.
[16:41:09.475] [GAL] WARNING: Present fails.
[16:41:09.521] [GAL] WARNING: Present fails.
[16:41:09.568] [GAL] WARNING: Present fails.
[16:41:09.615] [GAL] WARNING: Present fails.
[16:41:09.662] [GAL] WARNING: Present fails.
[16:41:09.709] [GAL] WARNING: Present fails.
[16:41:09.768] [GAL] WARNING: Present fails.
[16:41:09.815] [GAL] WARNING: Present fails.
[16:41:09.862] [GAL] WARNING: Present fails.
[16:41:09.909] [GAL] WARNING: Present fails.
[16:41:13.737] [GAL] WARNING: Present fails.
[16:41:13.753] [GAL] WARNING: Present fails.
[16:41:13.753] [GAL] WARNING: Present fails.
[16:41:13.769] [GAL] WARNING: Present fails.
[16:41:13.769] [GAL] WARNING: Present fails.
[16:41:17.620] [GAL] WARNING: Present fails.
[16:41:17.620] [GAL] WARNING: Present fails.
[16:41:17.635] [GAL] WARNING: Present fails.
[16:41:17.635] [GAL] WARNING: Present fails.
[16:41:17.651] [GAL] WARNING: Present fails.
[16:41:17.651] [GAL] WARNING: Present fails.
[16:41:17.651] [GAL] WARNING: Present fails.
[16:41:17.666] [GAL] WARNING: Present fails.
[16:41:17.666] [GAL] WARNING: Present fails.
[16:41:17.682] [GAL] WARNING: Present fails.
[16:41:17.682] [GAL] WARNING: Present fails.
[16:41:17.698] [GAL] WARNING: Present fails.
[16:41:17.698] [GAL] WARNING: Present fails.
[16:41:17.698] [GAL] WARNING: Present fails.
[16:41:17.745] [GAL] WARNING: Present fails.
[16:41:17.745] [GAL] WARNING: Present fails.
[16:41:17.745] [GAL] WARNING: Present fails.
[16:41:17.760] [GAL] WARNING: Present fails.
[16:41:17.760] [GAL] WARNING: Present fails.
[16:41:17.776] [GAL] WARNING: Present fails.
[16:41:20.110] [GAL] WARNING: Present fails.
[16:41:20.125] [GAL] WARNING: Present fails.
[16:41:20.141] [GAL] WARNING: Present fails.
[16:41:20.157] [GAL] WARNING: Present fails.
[16:41:20.172] [GAL] WARNING: Present fails.
[16:41:22.485] [GAL] WARNING: Present fails.
[16:41:22.501] [GAL] WARNING: Present fails.
